,corrs,x_coord,y_coord,offset,label
339,-0.10360131131769805,[4],[43],[-156],Dorsal
340,-0.1678234234316306,[4],[44],[-160],Dorsal
341,-0.23061829216528532,[4],[45],[-164],Dorsal
342,-0.27598631576452287,[4],[46],[-168],Dorsal
343,-0.3407847673310899,[4],[47],[-172],Dorsal
344,-0.40997694987673666,[4],[48],[-176],Dorsal
345,-0.42641243209480345,[4],[49],[-180],Dorsal
346,-0.41463892894169874,[4],[50],[-184],Dorsal
347,-0.3748192747647769,[4],[51],[-188],Dorsal
348,-0.32603558364148255,[4],[52],[-192],Dorsal
349,-0.2916493848818304,[4],[53],[-196],Dorsal
350,-0.2637882038211457,[4],[54],[-200],Dorsal
351,-0.2540591950022964,[4],[55],[-204],Dorsal
352,-0.25482101886226594,[4],[56],[-208],Dorsal
353,-0.2413706824360052,[4],[57],[-212],Dorsal
354,-0.2007295500516229,[4],[58],[-216],Dorsal
355,-0.15110530369724562,[4],[59],[-220],Dorsal
356,-0.11964484860161821,[4],[60],[-224],Dorsal
357,-0.12818230694565114,[4],[61],[-228],Dorsal
358,-0.13751953974354988,[4],[62],[-232],Dorsal
359,-0.15583887764233825,[4],[63],[-236],Dorsal
360,-0.14840179799246478,[4],[64],[-240],Dorsal
361,-0.14823187574126795,[4],[65],[-244],Dorsal
362,-0.16871575160745408,[4],[66],[-248],Dorsal
363,-0.1711881399897273,[4],[67],[-252],Dorsal
364,-0.16679711404322728,[4],[68],[-256],Dorsal
365,-0.20640020334682505,[4],[69],[-260],Dorsal
366,-0.27996114976251724,[4],[70],[-264],Dorsal
367,-0.29730812071757834,[4],[71],[-268],Dorsal
368,-0.24050508707212706,[4],[72],[-272],Dorsal
369,-0.13485356806427845,[4],[73],[-276],Dorsal
370,0.05699679728564753,[5],[0],[20],Ventral
371,0.13497764029364964,[5],[1],[16],Ventral
372,0.24401609049165998,[5],[2],[12],Ventral
373,0.3621070026875351,[5],[3],[8],Ventral
374,0.4857459881579966,[5],[4],[4],Ventral
375,0.5452783661453137,[5],[5],[0],Same
376,0.5210547841617496,[5],[6],[-4],Dorsal
377,0.4306007830025335,[5],[7],[-8],Dorsal
378,0.33259682814510383,[5],[8],[-12],Dorsal
379,0.24221240546346107,[5],[9],[-16],Dorsal
380,0.1870305940730895,[5],[10],[-20],Dorsal
381,0.12473570711795194,[5],[11],[-24],Dorsal
382,0.11872104117979362,[5],[12],[-28],Dorsal
383,0.13339254566448955,[5],[13],[-32],Dorsal
384,0.11568392782175613,[5],[14],[-36],Dorsal
